AX,AY,AZ,GX,GY,GZ,Label,Person
-1.873614785,-0.347664027,-9.868987025,-1.919480901,8.42067003,0.896054414,Chew,1P
-1.620751353,-0.281419428,-9.700113606,0.429419326,13.87937773,1.003701853,Chew,1P
-1.474407729,-0.158175487,-9.578268118,2.755809814,10.55591844,1.66591212,Chew,1P
-1.397779376,-0.127602329,-9.495439912,3.387741008,4.086776344,2.481440939,Chew,1P
-1.407966348,-0.226883482,-9.434024329,2.543224099,0.265067997,2.192611586,Chew,1P
-1.596882581,-0.343316125,-9.447897884,1.096462636,-1.481003543,0.467790539,Chew,1P
-1.912297333,-0.370494756,-9.572917366,-0.817181263,-3.387478275,-1.232875294,Chew,1P
-2.089474546,-0.329549493,-9.708564196,-2.85804402,-3.750490908,-1.239375387,Chew,1P
-1.938301205,-0.311322397,-9.707364145,-3.619513097,-0.338153555,0.296301102,Chew,1P
-1.591159633,-0.349810631,-9.572428088,-2.211775934,4.250337434,1.713917765,Chew,1P
-1.33372804,-0.396315582,-9.449506494,0.135524772,5.59169909,2.036330405,Chew,1P
